日期,備轉容量(萬瓩),備轉容量率(%)
2018/01/01,207.0,8.76
2018/01/02,172.0,6.18
2018/01/03,187.9,6.65
2018/01/04,196.0,6.81
2018/01/05,214.1,7.58
2018/01/06,177.9,6.83
2018/01/07,150.6,6.02
2018/01/08,126.7,4.40
2018/01/09,185.7,6.42
2018/01/10,185.9,6.54
2018/01/11,177.8,6.22
2018/01/12,174.5,6.21
2018/01/13,200.8,7.82
2018/01/14,189.1,7.66
2018/01/15,170.7,6.04
2018/01/16,141.7,5.01
2018/01/17,165.6,5.84
2018/01/18,181.7,6.25
2018/01/19,187.4,6.58
2018/01/20,192.1,7.42
2018/01/21,192.2,7.78
2018/01/22,200.4,7.09
2018/01/23,213.9,7.54
2018/01/24,176.1,6.24
2018/01/25,178.5,6.30
2018/01/26,210.1,7.63
2018/01/27,185.7,7.31
2018/01/28,219.2,8.93
2018/01/29,182.4,6.42
2018/01/30,177.1,6.19
2018/01/31,244.2,8.61
2018/02/01,219.6,7.70
2018/02/02,197.9,7.02
2018/02/03,161.5,6.13
2018/02/04,158.3,6.02
2018/02/05,147.6,5.08
2018/02/06,191.5,6.72
2018/02/07,146.3,5.06
2018/02/08,167.2,5.88
2018/02/09,200.1,7.07
2018/02/10,270.4,10.39
2018/02/11,207.7,8.19
2018/02/12,247.1,9.04
2018/02/13,198.3,7.54
2018/02/14,238.2,10.14
2018/02/15,242.2,11.54
2018/02/16,246.2,11.86
2018/02/17,270.0,13.31
2018/02/18,210.7,10.04
2018/02/19,159.5,7.22
2018/02/20,187.3,8.05
2018/02/21,160.1,6.04
2018/02/22,127.8,4.68
2018/02/23,207.6,7.66
2018/02/24,232.5,9.18
2018/02/25,227.3,9.21
2018/02/26,217.1,7.91
2018/02/27,168.1,6.04
2018/02/28,168.3,6.38
2018/03/01,183.9,6.48
2018/03/02,202.6,7.20
2018/03/03,188.4,7.23
2018/03/04,173.2,6.81
2018/03/05,102.9,3.49
2018/03/06,174.0,6.22
2018/03/07,127.7,4.49
2018/03/08,188.5,6.75
2018/03/09,191.0,6.92
2018/03/10,173.4,6.95
2018/03/11,169.0,6.97
2018/03/12,176.3,6.31
2018/03/13,191.1,6.72
2018/03/14,198.1,6.94
2018/03/15,197.4,6.82
2018/03/16,199.7,6.98
2018/03/17,180.0,6.98
2018/03/18,156.9,6.33
2018/03/19,166.0,5.70
2018/03/20,198.8,6.90
2018/03/21,192.3,6.94
2018/03/22,193.1,6.90
2018/03/23,189.7,6.86
2018/03/24,173.3,6.89
2018/03/25,171.5,6.98
2018/03/26,179.9,6.34
2018/03/27,199.7,6.98
2018/03/28,199.5,6.94
2018/03/29,179.0,6.18
2018/03/30,190.0,6.57
2018/03/31,194.1,6.97
2018/04/01,173.4,6.91
2018/04/02,189.4,6.52
2018/04/03,188.7,6.45
2018/04/04,159.6,6.11
2018/04/05,174.4,6.98
2018/04/06,170.8,6.99
2018/04/07,167.0,6.97
2018/04/08,165.5,6.92
